epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.8035232704390902,0.5626328317606053,1.4612154060163245,0.6060500867840317,0.001
2,1.1540642102072962,0.6421831165519001,0.9224057898697592,0.7712868832134887,0.0009997535269026829
3,0.947317856809147,0.7498193488055768,0.7699759586851147,0.8387304735928589,0.0009990143508499217
4,0.8671247581737155,0.79541783558616,1.096223433302083,0.6552938259360278,0.0009977832013192385
5,0.8004528999247539,0.8293802601377199,0.899586470683396,0.7810066947681626,0.0009960612933065818
6,0.7610470614424776,0.8467759075065885,0.6207841647815208,0.8926357550210762,0.0009938503261272714
7,0.7307247907077842,0.8606116636912352,0.6047503394581619,0.9090999256136871,0.00099115248173898
8,0.707160434531971,0.8703668281900876,0.5570327716165756,0.9194644185469873,0.0009879704225884043
9,0.685048811707095,0.8784855053982827,0.7318396124152844,0.8555417803124226,0.0009843072889837512
10,0.6669394017522517,0.8856052877667262,0.722547316657619,0.8265311182742375,0.000980166695995633
11,0.6516692087194865,0.891279860579784,0.6238938123453293,0.8858418051078601,0.0009755527298894294
12,0.644422212263602,0.8923000085012327,0.5298531901044229,0.9278948673444086,0.0009704699440926358
13,0.6319820607822282,0.896678143330783,0.544361915672325,0.9207041904289611,0.0009649233547011817
14,0.620939842436292,0.899292272379495,0.5265613458926879,0.9264071410860402,0.0009589184355291487
15,0.6133025941988203,0.9019489075916007,0.5268423275471088,0.9238284155715348,0.000952461112706777
16,0.6032598398883641,0.90660333248321,0.5748952824396085,0.9141086040168609,0.00094555775883209
17,0.5964382243462488,0.907379069965145,0.6352841156220099,0.8661542276221176,0.0009382151866819101
18,0.5947608832223352,0.9083992178865935,0.5233800723509549,0.9275973220927349,0.0009304406424884702
19,0.5880216052416057,0.910067584799796,0.511756439431264,0.9315150012397719,0.000922241798788257
20,0.5801062949162037,0.9131705347275355,0.56753289927598,0.915050830647161,0.0009136267468501441
21,0.5771006820437596,0.9127879792569923,0.5413838138673136,0.9194644185469873,0.0009046039886902867
22,0.5712380435944495,0.9141481764855904,0.4812024901470711,0.9380609967765932,0.0008951824286816578
23,0.5718170387712677,0.9136168494431692,0.5194325046742669,0.9291842301016613,0.0008853713647665072
24,0.5661173762436436,0.9160078211340644,0.4750378758565031,0.9418299032977933,0.000875180479280415
25,0.5614142153403553,0.917102354841452,0.48735294480522423,0.93820976940243,0.0008646198293969955
26,0.5593534011495445,0.9184519255292017,0.4919674586398472,0.9354822712620878,0.0008536998372026809
27,0.5559114790951872,0.9193870611238629,0.47372984821288605,0.9402429952888669,0.0008424312794113805
28,0.5498971060345309,0.9215017427526991,0.4781270896194296,0.9422266303000248,0.0008308252767291645
29,0.5530239386308419,0.9202371843917369,0.4809218843521801,0.9379122241507563,0.0008188932828794709
30,0.5472467866244288,0.9230744707982658,0.49675893347286393,0.9364740887676668,0.0008066470732996622
31,0.5451135731398081,0.9229682053897815,0.473572537955474,0.9431688569303248,0.0007940987335200908
32,0.5396628887548157,0.9251997789679504,0.4644270399649564,0.943020084304488,0.0007812606472371397
33,0.5385042441435476,0.9252104055087987,0.45890734902156544,0.9460947185717828,0.0007681454840920092
34,0.5383413619688252,0.9251466462637082,0.4744982095915125,0.9418794941730722,0.000754766187167311
35,0.5338999711209532,0.9261242880217632,0.4725996407273092,0.9459459459459459,0.0007411359602138073
36,0.5338158232515324,0.9265918558190938,0.4636208236232278,0.9444086288122986,0.0007272682546199041
37,0.5292950193360885,0.9278989203434498,0.48703283299265915,0.9381601785271511,0.0007131767561367543
38,0.5279172627757441,0.9284940066309615,0.46148730147100697,0.9443094470617407,0.0006988753713720733
39,0.5254823466876752,0.9297798180736206,0.4590440895579277,0.945846764195388,0.0006843782140659972
40,0.5228334504366428,0.9299179631046501,0.45656363963933017,0.9449045375650881,0.0006696995911625235
41,0.520506477179621,0.9301092408399217,0.4958887926910877,0.9303248202330772,0.0006548539886902866
42,0.5210176895419362,0.9298329507778628,0.45156213546431806,0.9487230349615671,0.0006398560574665955
43,0.5175932374756971,0.931596956558701,0.449581567724733,0.9485246714604513,0.0006247205986388453
44,0.514879385133711,0.9328615149196634,0.446214316747279,0.9485246714604513,0.0006094625490775734
45,0.5152830354445627,0.9319582589475474,0.4484001382657029,0.9482767170840566,0.0005940969666355699
46,0.512256050934792,0.9336372524015982,0.45126921869435677,0.9471361269526407,0.0005786390152875957
47,0.5114121864789158,0.9327658760520275,0.5323869001989533,0.9306719563600298,0.0005631039501653704
48,0.5087038854813684,0.9346574003230469,0.4499756553259967,0.9480287627076618,0.0005475071025025982
49,0.5083520013864659,0.9348061718949248,0.4456080883453184,0.9492189437143566,0.0005318638645048924
50,0.5056892969566148,0.9354437643458301,0.4440801271309251,0.9504091247210513,0.0005161896741595254
51,0.5051196183105781,0.9346680268638953,0.44969891284022295,0.9470369452020828,0.0005005000000000003
52,0.501940318519218,0.9370802516364873,0.43842626821601655,0.9518968509794198,0.0004848103258404752
53,0.5011748000745069,0.936846467737822,0.43914233802005137,0.9503595338457724,0.00046913613549510823
54,0.4998488990737398,0.9376222052197568,0.4355442110640282,0.9514009422266303,0.0004534928974974023
55,0.49884754909064855,0.9378134829550285,0.43689706178034265,0.9501611703446566,0.00043789604983463025
56,0.49821917574735847,0.9376647113831506,0.43603557485107036,0.9515497148524672,0.00042236098471240487
57,0.497247335872895,0.9383235569157528,0.44870824681864224,0.9482271262087776,0.00040690303336443076
58,0.4940152746940119,0.9391843067244751,0.4469057850896233,0.9469873543268039,0.00039153745092242734
59,0.4936565329334743,0.9395987418175635,0.4443542322005819,0.949714852467146,0.0003762794013611552
60,0.49197361138486584,0.9394287171639888,0.4323848789275624,0.9521943962310935,0.0003611439425334052
61,0.49049789323537596,0.9402150811867721,0.4310564426033248,0.9513017604760724,0.00034614601130971405
62,0.489546515709444,0.940013176910652,0.4348353847835426,0.951698487478304,0.0003313004088374771
63,0.48872701200327784,0.9405445039530732,0.43398260758409657,0.9544755764939251,0.00031662178593400364
64,0.4871811662301577,0.941469013006886,0.42903937037074474,0.9531366228613936,0.00030212462862792713
65,0.4860195981055653,0.9414902660885829,0.42824472022535426,0.9539300768658567,0.0002878232438632463
66,0.4853828118121676,0.9418303153957324,0.42935748654206396,0.9524919414827672,0.0002737317453800965
67,0.4841902681068124,0.942170364702882,0.43446957012012644,0.9535333498636251,0.0002598640397861932
68,0.481390693512922,0.9436155742582675,0.43016040153134527,0.952690304983883,0.0002462338128326896
69,0.4810105488432677,0.9431373799200884,0.42885782597764327,0.9551202578725515,0.0002328545159079911
70,0.48117635452878077,0.9433924169004506,0.4295889650566419,0.9561616662534094,0.00021973935276286077
71,0.48208771499456077,0.9433392841962085,0.42755403328468033,0.9534341681130672,0.00020690126647990978
72,0.47904617412656,0.9437430927484485,0.42718305963456643,0.9538308951152988,0.00019435292670033825
73,0.47820860251098996,0.9438599846977812,0.42998702774383635,0.9543268038680883,0.00018210671712052954
74,0.4775687229022236,0.944030009351356,0.42904952553907044,0.9543763947433672,0.00017017472327083603
75,0.4776856159663247,0.9443275524951118,0.4268847404506465,0.9551698487478304,0.00015856872058862004
76,0.475956237823858,0.9442637932500213,0.42421872192241405,0.9561120753781305,0.0001473001627973196
77,0.474786737982051,0.9450926634361982,0.4231563308266768,0.9547731217455988,0.0001363801706030051
78,0.4737031355121453,0.9454433392841962,0.42543324136479804,0.9558641210017357,0.00012581952071958556
79,0.474667540557184,0.9456027373969226,0.4260632590623284,0.9553186213736673,0.00011562863523349338
80,0.4737312500142204,0.9459002805406784,0.42331702405189187,0.955616166625341,0.0001058175713183427
81,0.47275856119794096,0.9458896539998299,0.4214253692245058,0.9558641210017357,9.639601130971386e-05
82,0.4720496196690277,0.9465910056958259,0.4243254534222191,0.9557153483758989,8.737325314985652e-05
83,0.4722029952829431,0.946644138400068,0.4235473457131763,0.955616166625341,7.875820121174362e-05
84,0.4719938824475344,0.9458684009181332,0.42383378965222684,0.9563104388792463,7.055935751153013e-05
85,0.4705759514141253,0.9470160673297628,0.4230376719423479,0.9562608480039673,6.278481331809018e-05
86,0.46993756792856034,0.946792909971946,0.4203681675725086,0.9563600297545252,5.5442241167910324e-05
87,0.4686490243048548,0.9465803791549775,0.42091576537570435,0.9572526655095462,4.853888729322336e-05
88,0.46861305585333574,0.9475261412904871,0.4206409952908333,0.957451029010662,4.2081564470851557e-05
89,0.466425276127922,0.9477067924849103,0.4204368778265885,0.9569551202578725,3.607664529881847e-05
90,0.4660724346039602,0.9479830825469693,0.42053992193152523,0.9571038928837095,3.05300559073644e-05
91,0.46729787940183665,0.9476536597806682,0.41999072362021067,0.9569055293825937,2.544727011057082e-05
92,0.46613316654824566,0.9482699991498768,0.4196899105915502,0.9571534837589883,2.0833304004367e-05
93,0.46790197413612017,0.9469416815438239,0.4192808212874517,0.9570543020084304,1.6692711016248837e-05
94,0.4677039310709814,0.9475899005355777,0.41928777212899165,0.9571534837589883,1.3029577411595715e-05
95,0.4664271442569722,0.9481318541188473,0.4194689936801041,0.9573022563848252,9.847518261019987e-06
96,0.4672063145114179,0.9478236844342429,0.4190942895817396,0.9571534837589883,7.14967387272874e-06
97,0.4652257855931867,0.9478449375159398,0.4190781411922454,0.9570543020084304,4.9387066934183575e-06
