epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr
1,6.4017053386198866,0.5161310890079062,3.643144256531261,0.6028266798909001,0.09347673775908634,0.001
2,3.4706053209681804,0.5900174275269914,3.5127970785589806,0.6171584428465162,0.12578826398281573,0.0009998904513956854
3,3.3026187063773493,0.6514069540083313,3.206742169287729,0.7655839325564097,0.21692979249252517,0.00099956185363438
4,3.1537473243707543,0.7100867125733231,3.208529964676868,0.7442598561864617,0.22259417909647905,0.0009990143508499217
5,3.0590850978767974,0.7492030094363683,3.0267532198594043,0.8673444086288123,0.28051894151443113,0.0009982481831951274
6,2.997186577381918,0.7734208960299244,3.0201152619669993,0.8282667989090008,0.2669643529411609,0.0009972636867364526
7,2.9200919170034263,0.7990627390971691,2.933252760591325,0.8854946689809076,0.35023348009511074,0.0009960612933065818
8,2.8887327125584665,0.8128347360367253,2.955022169371382,0.8826183982147285,0.4073217258839778,0.0009946415303150127
9,2.854445292148462,0.8282113406443934,2.8662758844235148,0.914009422266303,0.35351516772238795,0.0009930050205167172
10,2.825853413286171,0.8400174275269914,2.9413479615936735,0.8915943466402182,0.3552073779582399,0.00099115248173898
11,2.8071768567805933,0.8481786108985803,2.9842303191406567,0.8758740391767915,0.31941621801856673,0.0009890847265665358
12,2.7865450138605077,0.8560741307489586,2.986150668118451,0.8306471609223903,0.3740042818300646,0.0009868026619851433
13,2.770464541240583,0.8634383235569157,3.0273461942012982,0.8317877510538061,0.26096063544668285,0.000984307288983751
14,2.7566287108528913,0.8662968630451415,4.119737136071354,0.33483758988346146,0.13995776037708937,0.0009815997021154301
15,2.7419886999690473,0.870026778882938,2.809300082438701,0.924671460451277,0.5105292200233048,0.0009786810890172674
16,2.7333323558272933,0.8731722349740713,2.832651526680248,0.925613687081577,0.4694149657099185,0.0009755527298894293
17,2.718795949095499,0.8767427526991414,3.2937622004338007,0.6981403421770395,0.34382086588706423,0.0009722159969336218
18,2.7119889765240592,0.8796756779733061,3.0646317422050062,0.8072402677907266,0.3701331286869211,0.0009686723537511998
19,2.705555304027299,0.8816415880302644,2.846066600963669,0.9098437887428713,0.4911438765208141,0.0009649233547011815
20,2.6926175567615926,0.8847551644988524,2.7991958685675598,0.9245226878254401,0.505720856713384,0.0009609706442184559
21,2.6868795597217807,0.8849889483975176,2.889110687238361,0.8953136622861394,0.4742766844406862,0.000956815956092479
22,2.6773578673309792,0.8875924509053813,2.816425881041743,0.9211009174311927,0.49571928063623627,0.0009524611127067767
23,2.6708245423743486,0.8902278330357902,2.9089155883609346,0.8875774857426234,0.45489786679647987,0.0009479080242395866
24,2.6695124569529427,0.890323471903426,4.412564429342968,0.37832878750309945,0.23631366131632572,0.0009431586878259915
25,2.658700498747783,0.8925337923998979,3.033910444336732,0.8250929828911481,0.3713824027694314,0.0009382151866819096
26,2.645858299465677,0.895222307234549,2.832202977162273,0.9267542772129929,0.5087231832481004,0.0009330796891903268
27,2.643756708644396,0.8965612513814503,2.7838329042538263,0.9273493677163402,0.5094769921633481,0.0009277544479501729
28,2.6455079568726547,0.896051177420726,2.9257640471861612,0.8375898834614431,0.39567906098531685,0.0009222417987882563
29,2.62911233629974,0.8993454050837372,2.7543756771465997,0.9364244978923878,0.5245866993330565,0.0009165441597346945
30,2.6131454880197245,0.9031709597891694,4.28905089436528,0.2804859905777337,0.22138131161103589,0.000910664029962285
31,2.6035331673619293,0.9035216356371674,2.876749502090257,0.8933796181502603,0.47376877948322543,0.000904603988690286
32,2.598326788319117,0.9045099039360708,2.808518053632264,0.9149020580213241,0.5553172673728793,0.0008983666940530858
33,2.5946622852726593,0.9055513049392162,3.3144629776049217,0.6538556905529382,0.2548269769012546,0.0008919548819342568
34,2.578870360567326,0.9095468842982233,3.20799370472939,0.7099429704934292,0.30451522165146044,0.0008853713647665065
35,2.56439744065147,0.9115659270594236,3.734898710877494,0.5127696503843293,0.38237921928024426,0.0008786190302980521
36,2.552867507829174,0.9141162968630452,3.1142785827959263,0.7386064964046616,0.35838634055725377,0.0008717008403259583
37,2.534326187883076,0.9178143330782964,2.82831075503044,0.9118770146293083,0.566992078525926,0.0008646198293969948
38,2.5165589224022384,0.9228194338179035,2.8074685846343397,0.9176791470369452,0.5352253451734815,0.0008573791034765851
39,2.5043105100537506,0.9252104055087987,2.7875407742413523,0.9183734192908505,0.5783173326185836,0.000849981838586426
40,2.487403606239513,0.9274738587095129,2.832146489611341,0.9134143317629556,0.5362799131572714,0.0008424312794113799
41,2.4868401772086335,0.9278139080166624,2.8088445999945715,0.9137614678899083,0.5733449573476928,0.0008347307378762496
42,2.47906061535454,0.929588540338349,2.709164284175955,0.9408876766674932,0.6075787010427748,0.0008268835916930577
43,2.4663497435846957,0.9306511944231913,2.9078030546043165,0.8703198611455493,0.4903134589579525,0.0008188932828794705
44,2.4707090963081346,0.9307574598316756,3.0232113850492124,0.8127448549466898,0.4417892984522882,0.0008107633162490161
45,2.465691311610938,0.9329465272464508,2.7670798604966627,0.9318621373667245,0.5825449202036768,0.0008024972578737563
