epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr
1,3.1855973773775665,0.34155827595001276,1.313139382326186,0.6470121497644433,0.1683830038035403,0.001
2,1.5491761251401102,0.5274696080931736,0.9070799762694853,0.7737664269774361,0.27350076280861335,0.0009998904513956854
3,1.1990479781272347,0.6811187622205219,0.7495557030229216,0.8268782544011902,0.39272091394090863,0.00099956185363438
4,1.0505610145213582,0.7501912777352716,0.6776712100972262,0.8878254401190181,0.47543613109057287,0.0009990143508499217
5,0.9614243381112386,0.7862790104565162,0.661484019814843,0.8864368956112075,0.5227611419934953,0.0009982481831951274
6,0.900181898705501,0.8100718354161354,0.7587718944528279,0.8613935035953385,0.4301431412342847,0.0009972636867364526
7,0.8587743695228367,0.825384680778713,0.6053235202990778,0.9006694768162659,0.5505514624480424,0.0009960612933065818
8,0.8209316777623572,0.8394967270254187,0.6538513939403702,0.8866848499876023,0.5288790946606341,0.0009946415303150127
9,0.7892272999261721,0.8499638697611154,0.564068563422523,0.9153483758988347,0.5865985524669625,0.0009930050205167172
10,0.7724044482024726,0.855479044461447,0.6246584609871374,0.8847508058517233,0.6006873817037031,0.00099115248173898
11,0.7531374636621061,0.8636827339964295,0.5287274180231868,0.9312174559880982,0.6341579954939626,0.0009890847265665358
12,0.7365604995373894,0.8686347020317946,0.657171150321497,0.8805355814530127,0.5103793584881896,0.0009868026619851433
13,0.718210565889813,0.875,0.49983883345656205,0.934341681130672,0.7230320163492823,0.000984307288983751
14,0.7030182224060619,0.8793675082887019,0.4977857635123482,0.9360277708901562,0.6967032086117323,0.0009815997021154301
15,0.6947703303340583,0.8825342174615319,0.5276299339413141,0.9263079593354823,0.6810409078691161,0.0009786810890172674
16,0.6815683120754131,0.8863916517895095,0.4879816475264523,0.9413339945450038,0.7291366083363268,0.0009755527298894293
17,0.6671699851860271,0.8921724900110516,0.5117742671243553,0.9322092734936772,0.7104779827718607,0.0009722159969336218
18,0.6542333736363332,0.895572983082547,1.0812359595162797,0.6416563352343169,0.17041941068628086,0.0009686723537511998
19,0.6458355625156317,0.8994091643288277,0.4852124786128662,0.9397966774113563,0.6835282619892474,0.0009649233547011815
20,0.6375769635583738,0.9021508118677208,0.47350678331586527,0.9435655839325564,0.7582756748750553,0.0009609706442184559
21,0.6259587418715848,0.9047224347530392,0.4713670658320373,0.9470369452020828,0.759558906676284,0.000956815956092479
22,0.6196213164500189,0.9079741562526567,0.48921743050686867,0.9412348127944459,0.7214081725458333,0.0009524611127067767
23,0.609371927991911,0.9106307914647624,1.1365994295765323,0.5753037441110835,0.09437082730816755,0.0009479080242395866
24,0.603124997784651,0.9117997109580889,0.5181403501007772,0.929531366228614,0.6964336956284992,0.0009431586878259915
25,0.5971802838610962,0.9139781518320157,0.5227999873797414,0.9291346392263824,0.7677925505347599,0.0009382151866819096
